Pattern,Greetings,Thanks,Product,Shipping Times,Payments,Refund
Hello!,1,0,0,0,0,0
Hi there!,1,0,0,0,0,0
Good morning!,1,0,0,0,0,0
Good afternoon!,1,0,0,0,0,0
Good evening!,1,0,0,0,0,0
Hey!,1,0,0,0,0,0
What's up?,1,0,0,0,0,0
Howdy!,1,0,0,0,0,0
Greetings!,1,0,0,0,0,0
Salutations!,1,0,0,0,0,0
Nice to see you!,1,0,0,0,0,0
How's life,1,0,0,0,0,0
What's new?,1,0,0,0,0,0
Good to talk to you,1,0,0,0,0,0
Long time no talk!,1,0,0,0,0,0
Long time no see!,1,0,0,0,0,0
How have you been?,1,0,0,0,0,0
How's your day going?,1,0,0,0,0,0
What have you been up to?,1,0,0,0,0,0
"Hey, stranger!",1,0,0,0,0,0
Welcome back!,1,0,0,0,0,0
Ahoy there!,1,0,0,0,0,0
How's everything,1,0,0,0,0,0
Top of the morning to you!,1,0,0,0,0,0
What's the good word?,1,0,0,0,0,0
Sup?,1,0,0,0,0,0
Heya!,1,0,0,0,0,0
Yo!,1,0,0,0,0,0
Pleased to meet you,1,0,0,0,0,0
Wassup?,1,0,0,0,0,0
Nice to meet you,1,0,0,0,0,0
How do you do?,1,0,0,0,0,0
How's it hanging?,1,0,0,0,0,0
"Hi, how's your day been?",1,0,0,0,0,0
"Good to see you, how are things?",1,0,0,0,0,0
"It's great to catch up with you, how have you been?",1,0,0,0,0,0
"What's been happening lately, how are you?",1,0,0,0,0,0
"Lovely to meet you, how's your day been?",1,0,0,0,0,0
"Hey, how's everything going?",1,0,0,0,0,0
"Hi, how's your week been so far?",1,0,0,0,0,0
"Good afternoon, how are you doing today?",1,0,0,0,0,0
"Nice to catch up with you, how's life treating you?",1,0,0,0,0,0
How's everything been since we last spoke?,1,0,0,0,0,0
"Hi there, how have you been keeping?",1,0,0,0,0,0
"Hey, how's your day treating you?",1,0,0,0,0,0
"Good to see you, how's your week shaping up?",1,0,0,0,0,0
"What's the latest news with you, how are you doing?",1,0,0,0,0,0
"Hi, how are you feeling today?",1,0,0,0,0,0
"How's your day been so far, good?",1,0,0,0,0,0
"Great to see you, how's your day going?",1,0,0,0,0,0
"Hi, how's your morning been?",1,0,0,0,0,0
"Nice to see you again, how are you holding up?",1,0,0,0,0,0
"What's been going on in your life, how are you?",1,0,0,0,0,0
